epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,14909.9,0.6001,0.47131,0.98013,0.88618,0.82747,0.84797,0.69971,0.95819,1.07659,1.37841,0.00337325,0.00337325,0.00337325
63,15132.1,0.58469,0.46352,0.98351,0.87186,0.84023,0.8482,0.68731,1.02455,1.16562,1.46442,0.00322778,0.00322778,0.00322778
64,15353.2,0.58504,0.45449,0.98036,0.88647,0.83549,0.84673,0.69151,0.94083,1.04687,1.36223,0.00308412,0.00308412,0.00308412
65,15574.7,0.59173,0.4579,0.98075,0.86998,0.83542,0.83569,0.68155,0.98424,1.13507,1.42138,0.00294239,0.00294239,0.00294239
66,15797.7,0.582,0.45615,0.98223,0.87351,0.83517,0.85058,0.69562,0.94855,1.12864,1.35668,0.00280275,0.00280275,0.00280275
67,16020.1,0.56812,0.44033,0.9788,0.85991,0.83455,0.84713,0.70009,0.91964,1.07597,1.33578,0.00266532,0.00266532,0.00266532
68,16252.7,0.56385,0.43239,0.96359,0.85014,0.8244,0.82861,0.67701,0.97354,1.22804,1.40312,0.00253024,0.00253024,0.00253024
69,16476.1,0.56478,0.43409,0.97837,0.84281,0.8509,0.83617,0.68815,0.94706,1.09808,1.34492,0.00239766,0.00239766,0.00239766
70,16699.1,0.55766,0.4207,0.96572,0.8502,0.8422,0.8342,0.68863,0.9207,1.07388,1.32457,0.00226769,0.00226769,0.00226769
71,16925.1,0.55685,0.42769,0.96268,0.85032,0.83038,0.84208,0.69552,0.91444,1.05264,1.3032,0.00214046,0.00214046,0.00214046
72,17147.9,0.57583,0.43901,0.97432,0.8622,0.83282,0.84467,0.69629,0.91983,1.10822,1.33112,0.00201611,0.00201611,0.00201611
73,17369,0.52565,0.40499,0.95142,0.8599,0.82939,0.84029,0.69537,0.91577,1.09419,1.33948,0.00189475,0.00189475,0.00189475
74,17591.7,0.53344,0.4081,0.95276,0.86558,0.84295,0.84824,0.70235,0.91929,1.07896,1.34674,0.00177651,0.00177651,0.00177651
75,17815.1,0.54394,0.42018,0.96177,0.87005,0.84388,0.85149,0.71155,0.90726,1.09737,1.33834,0.00166149,0.00166149,0.00166149
76,18037.4,0.53469,0.4004,0.95418,0.87198,0.84774,0.85202,0.71517,0.91043,1.06899,1.33293,0.00154982,0.00154982,0.00154982
77,18262.4,0.54209,0.41949,0.96462,0.85912,0.85942,0.85208,0.70956,0.90873,1.07188,1.32176,0.00144161,0.00144161,0.00144161
78,18485.3,0.54562,0.41399,0.9643,0.86638,0.85151,0.84968,0.70598,0.90187,1.07363,1.32011,0.00133695,0.00133695,0.00133695
79,18708.2,0.52991,0.40391,0.95548,0.85876,0.85483,0.8498,0.70565,0.9155,1.07496,1.34135,0.00123596,0.00123596,0.00123596
80,18933.2,0.53324,0.39822,0.95175,0.86198,0.84984,0.8496,0.70698,0.91219,1.07704,1.34848,0.00113873,0.00113873,0.00113873
81,19161.6,0.52128,0.39882,0.94866,0.86767,0.83905,0.84507,0.69961,0.90785,1.06436,1.34182,0.00104537,0.00104537,0.00104537
82,19392.5,0.5252,0.39403,0.94742,0.86255,0.84812,0.85254,0.70675,0.9021,1.07508,1.32146,0.000955951,0.000955951,0.000955951
83,19620.6,0.52795,0.4021,0.95984,0.87124,0.84199,0.85524,0.70817,0.90657,1.06988,1.33457,0.000870577,0.000870577,0.000870577
84,19845.6,0.50855,0.38442,0.93701,0.86954,0.84125,0.84989,0.70507,0.90413,1.0585,1.3205,0.000789327,0.000789327,0.000789327
85,20072.9,0.51652,0.3941,0.94826,0.86575,0.84143,0.84647,0.70346,0.90032,1.09303,1.33147,0.000712282,0.000712282,0.000712282
86,20295.7,0.50127,0.37077,0.94367,0.87335,0.84275,0.85006,0.69992,0.9166,1.1094,1.34104,0.000639518,0.000639518,0.000639518
87,20518.1,0.50221,0.38336,0.9523,0.87688,0.84376,0.85116,0.70799,0.90697,1.08429,1.32981,0.000571106,0.000571106,0.000571106
88,20740.4,0.51394,0.3872,0.95187,0.87084,0.8429,0.85212,0.71005,0.89979,1.06744,1.32427,0.000507115,0.000507115,0.000507115
89,20962.2,0.51459,0.39104,0.95088,0.86576,0.84698,0.85241,0.7109,0.89803,1.05372,1.32367,0.000447606,0.000447606,0.000447606
90,21187.4,0.51518,0.38538,0.95862,0.87141,0.83995,0.84864,0.71027,0.9074,1.06724,1.33486,0.00039264,0.00039264,0.00039264
91,21406.5,0.40145,0.27544,0.86499,0.86639,0.84182,0.84433,0.70208,0.90875,1.0732,1.34035,0.00034227,0.00034227,0.00034227
92,21626,0.4008,0.27304,0.86555,0.86655,0.84378,0.84089,0.69761,0.91107,1.08668,1.3464,0.000296546,0.000296546,0.000296546
93,21845.7,0.39097,0.26877,0.85945,0.86728,0.84871,0.84284,0.69758,0.91031,1.0877,1.34867,0.000255513,0.000255513,0.000255513
94,22064,0.39541,0.26698,0.86621,0.86565,0.84923,0.84581,0.70039,0.91067,1.08335,1.35053,0.000219212,0.000219212,0.000219212
95,22286.7,0.39251,0.26804,0.86146,0.86512,0.84826,0.84705,0.70129,0.90723,1.08288,1.34931,0.000187678,0.000187678,0.000187678
96,22504.8,0.38833,0.26405,0.85901,0.86163,0.84864,0.84632,0.70138,0.90856,1.08044,1.34841,0.000160943,0.000160943,0.000160943
97,22724.4,0.38357,0.25813,0.85531,0.86104,0.85076,0.8454,0.7025,0.90969,1.0812,1.35059,0.000139032,0.000139032,0.000139032
98,22944.7,0.38827,0.26448,0.86163,0.8599,0.85154,0.84823,0.70452,0.90487,1.07519,1.3436,0.000121968,0.000121968,0.000121968
99,23166.6,0.38986,0.26217,0.85622,0.86843,0.84289,0.84629,0.70504,0.90265,1.07244,1.33865,0.000109768,0.000109768,0.000109768
100,23385.3,0.39073,0.2629,0.86042,0.86264,0.8484,0.84471,0.70268,0.9097,1.07819,1.34705,0.000102443,0.000102443,0.000102443
